Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
128,1,128,-11,-12,40.4,4,5,1
129,1,129,-11,-11,40.4,5,5,1
130,1,130,-11,-10,40.4,6,5,1
131,1,131,-11,-9,40.4,7,5,1
132,1,132,-11,-8,40.4,8,5,1
133,1,133,-11,-7,40.4,9,5,1
134,1,134,-11,-6,40.4,10,5,1
135,1,135,-11,-5,40.4,11,5,1
136,1,136,-11,-4,40.4,12,5,1
137,1,137,-11,-3,40.4,13,5,1
138,1,138,-11,-2,40.4,14,5,1
139,1,139,-11,-1,40.4,15,5,1
140,1,140,-11,0,40.4,16,5,1
141,1,141,-11,1,40.4,17,5,1
142,1,142,-11,2,40.4,18,5,1
143,1,143,-11,3,40.4,19,5,1
144,1,144,-11,4,40.4,20,5,1
145,1,145,-11,5,40.4,21,5,1
146,1,146,-11,6,40.4,22,5,1
147,1,147,-11,7,40.4,23,5,1
148,1,148,-11,8,40.4,24,5,1
149,1,149,-11,9,40.4,25,5,1
150,1,150,-11,10,40.4,26,5,1
151,1,151,-11,11,40.4,27,5,1
152,1,152,-11,12,40.4,28,5,1
153,1,153,-11,13,40.4,29,5,1
154,1,154,-11,14,40.4,30,5,1
155,1,155,-11,15,40.4,31,5,1
156,1,156,-10,-15,40.4,1,6,1
157,1,157,-10,-14,40.4,2,6,1
158,1,158,-10,-13,40.4,3,6,1
159,1,159,-10,-12,40.4,4,6,1
160,1,160,-10,-11,40.4,5,6,1
161,1,161,-10,-10,40.4,6,6,1
162,1,162,-10,-9,40.4,7,6,1
163,1,163,-10,-8,40.4,8,6,1
164,1,164,-10,-7,40.4,9,6,1
165,1,165,-10,-6,40.4,10,6,1
166,1,166,-10,-5,40.4,11,6,1
167,1,167,-10,-4,40.4,12,6,1
168,1,168,-10,-3,40.4,13,6,1
169,1,169,-10,-2,40.4,14,6,1
170,1,170,-10,-1,40.4,15,6,1
171,1,171,-10,0,40.4,16,6,1
172,1,172,-10,1,40.4,17,6,1
173,1,173,-10,2,40.4,18,6,1
174,1,174,-10,3,40.4,19,6,1
175,1,175,-10,4,40.4,20,6,1
176,1,176,-10,5,40.4,21,6,1
177,1,177,-10,6,40.4,22,6,1
178,1,178,-10,7,40.4,23,6,1
179,1,179,-10,8,40.4,24,6,1
180,1,180,-10,9,40.4,25,6,1
181,1,181,-10,10,40.4,26,6,1
182,1,182,-10,11,40.4,27,6,1
183,1,183,-10,12,40.4,28,6,1
184,1,184,-10,13,40.4,29,6,1
185,1,185,-10,14,40.4,30,6,1
186,1,186,-10,15,40.4,31,6,1
187,1,187,-9,-15,40.4,1,7,1
188,1,188,-9,-14,40.4,2,7,1
189,1,189,-9,-13,40.4,3,7,1
190,1,190,-9,-12,40.4,4,7,1
191,1,191,-9,-11,40.4,5,7,1
192,1,192,-9,-10,40.4,6,7,1
193,1,193,-9,-9,40.4,7,7,1
194,1,194,-9,-8,40.4,8,7,1
195,1,195,-9,-7,40.4,9,7,1
196,1,196,-9,-6,40.4,10,7,1
197,1,197,-9,-5,40.4,11,7,1
198,1,198,-9,-4,40.4,12,7,1
199,1,199,-9,-3,40.4,13,7,1
200,1,200,-9,-2,40.4,14,7,1
201,1,201,-9,-1,40.4,15,7,1
202,1,202,-9,0,40.4,16,7,1
203,1,203,-9,1,40.4,17,7,1
204,1,204,-9,2,40.4,18,7,1
205,1,205,-9,3,40.4,19,7,1
206,1,206,-9,4,40.4,20,7,1
207,1,207,-9,5,40.4,21,7,1
208,1,208,-9,6,40.4,22,7,1
209,1,209,-9,7,40.4,23,7,1
210,1,210,-9,8,40.4,24,7,1
211,1,211,-9,9,40.4,25,7,1
212,1,212,-9,10,40.4,26,7,1
213,1,213,-9,11,40.4,27,7,1
214,1,214,-9,12,40.4,28,7,1
215,1,215,-9,13,40.4,29,7,1
216,1,216,-9,14,40.4,30,7,1
217,1,217,-9,15,40.4,31,7,1
218,1,218,-8,-15,40.4,1,8,1
219,1,219,-8,-14,40.4,2,8,1
220,1,220,-8,-13,40.4,3,8,1
221,1,221,-8,-12,40.4,4,8,1
222,1,222,-8,-11,40.4,5,8,1
223,1,223,-8,-10,40.4,6,8,1
224,1,224,-8,-9,40.4,7,8,1
225,1,225,-8,-8,40.4,8,8,1
226,1,226,-8,-7,40.4,9,8,1
227,1,227,-8,-6,40.4,10,8,1
228,1,228,-8,-5,40.4,11,8,1
229,1,229,-8,-4,40.4,12,8,1
230,1,230,-8,-3,40.4,13,8,1
231,1,231,-8,-2,40.4,14,8,1
232,1,232,-8,-1,40.4,15,8,1
233,1,233,-8,0,40.4,16,8,1
234,1,234,-8,1,40.4,17,8,1
235,1,235,-8,2,40.4,18,8,1
236,1,236,-8,3,40.4,19,8,1
237,1,237,-8,4,40.4,20,8,1
238,1,238,-8,5,40.4,21,8,1
239,1,239,-8,6,40.4,22,8,1
240,1,240,-8,7,40.4,23,8,1
241,1,241,-8,8,40.4,24,8,1
242,1,242,-8,9,40.4,25,8,1
243,1,243,-8,10,40.4,26,8,1
244,1,244,-8,11,40.4,27,8,1
245,1,245,-8,12,40.4,28,8,1
246,1,246,-8,13,40.4,29,8,1
247,1,247,-8,14,40.4,30,8,1
248,1,248,-8,15,40.4,31,8,1
249,1,249,-7,-15,40.4,1,9,1
250,1,250,-7,-14,40.4,2,9,1
251,1,251,-7,-13,40.4,3,9,1
252,1,252,-7,-12,40.4,4,9,1
253,1,253,-7,-11,40.4,5,9,1
254,1,254,-7,-10,40.4,6,9,1
255,1,255,-7,-9,40.4,7,9,1
256,1,256,-7,-8,40.4,8,9,1
257,1,257,-7,-7,40.4,9,9,1
258,1,258,-7,-6,40.4,10,9,1
259,1,259,-7,-5,40.4,11,9,1
260,1,260,-7,-4,40.4,12,9,1
261,1,261,-7,-3,40.4,13,9,1
262,1,262,-7,-2,40.4,14,9,1
263,1,263,-7,-1,40.4,15,9,1
264,1,264,-7,0,40.4,16,9,1
265,1,265,-7,1,40.4,17,9,1
266,1,266,-7,2,40.4,18,9,1
267,1,267,-7,3,40.4,19,9,1
268,1,268,-7,4,40.4,20,9,1
269,1,269,-7,5,40.4,21,9,1
270,1,270,-7,6,40.4,22,9,1
271,1,271,-7,7,40.4,23,9,1
272,1,272,-7,8,40.4,24,9,1
273,1,273,-7,9,40.4,25,9,1
274,1,274,-7,10,40.4,26,9,1
275,1,275,-7,11,40.4,27,9,1
276,1,276,-7,12,40.4,28,9,1
277,1,277,-7,13,40.4,29,9,1
278,1,278,-7,14,40.4,30,9,1
279,1,279,-7,15,40.4,31,9,1
280,1,280,-6,-15,40.4,1,10,1
281,1,281,-6,-14,40.4,2,10,1
282,1,282,-6,-13,40.4,3,10,1
283,1,283,-6,-12,40.4,4,10,1
284,1,284,-6,-11,40.4,5,10,1
285,1,285,-6,-10,40.4,6,10,1
286,1,286,-6,-9,40.4,7,10,1
287,1,287,-6,-8,40.4,8,10,1
288,1,288,-6,-7,40.4,9,10,1
289,1,289,-6,-6,40.4,10,10,1
290,1,290,-6,-5,40.4,11,10,1
291,1,291,-6,-4,40.4,12,10,1
292,1,292,-6,-3,40.4,13,10,1
293,1,293,-6,-2,40.4,14,10,1
294,1,294,-6,-1,40.4,15,10,1
295,1,295,-6,0,40.4,16,10,1
296,1,296,-6,1,40.4,17,10,1
297,1,297,-6,2,40.4,18,10,1
298,1,298,-6,3,40.4,19,10,1
299,1,299,-6,4,40.4,20,10,1
300,1,300,-6,5,40.4,21,10,1
301,1,301,-6,6,40.4,22,10,1
302,1,302,-6,7,40.4,23,10,1
303,1,303,-6,8,40.4,24,10,1
304,1,304,-6,9,40.4,25,10,1
305,1,305,-6,10,40.4,26,10,1
306,1,306,-6,11,40.4,27,10,1
307,1,307,-6,12,40.4,28,10,1
308,1,308,-6,13,40.4,29,10,1
309,1,309,-6,14,40.4,30,10,1
310,1,310,-6,15,40.4,31,10,1
311,1,311,-5,-15,40.4,1,11,1
312,1,312,-5,-14,40.4,2,11,1
313,1,313,-5,-13,40.4,3,11,1
314,1,314,-5,-12,40.4,4,11,1
315,1,315,-5,-11,40.4,5,11,1
316,1,316,-5,-10,40.4,6,11,1
317,1,317,-5,-9,40.4,7,11,1
318,1,318,-5,-8,40.4,8,11,1
319,1,319,-5,-7,40.4,9,11,1
320,1,320,-5,-6,40.4,10,11,1
321,1,321,-5,-5,40.4,11,11,1
322,1,322,-5,-4,40.4,12,11,1
323,1,323,-5,-3,40.4,13,11,1
324,1,324,-5,-2,40.4,14,11,1
325,1,325,-5,-1,40.4,15,11,1
326,1,326,-5,0,40.4,16,11,1
327,1,327,-5,1,40.4,17,11,1
328,1,328,-5,2,40.4,18,11,1
329,1,329,-5,3,40.4,19,11,1
330,1,330,-5,4,40.4,20,11,1
331,1,331,-5,5,40.4,21,11,1
332,1,332,-5,6,40.4,22,11,1
333,1,333,-5,7,40.4,23,11,1
334,1,334,-5,8,40.4,24,11,1
335,1,335,-5,9,40.4,25,11,1
336,1,336,-5,10,40.4,26,11,1
337,1,337,-5,11,40.4,27,11,1
338,1,338,-5,12,40.4,28,11,1
339,1,339,-5,13,40.4,29,11,1
340,1,340,-5,14,40.4,30,11,1
