# Onda Corporation
# Hydrophone Calibration Data
# 
Calibration_DATE	27-Aug-2024
# 
# Hydrophone description
HYD_MFG	Onda
HYD_MODEL	HNR
HYD_APERTURE_NOM_UM	0500
HYD_SN	2439
HYD_POLARITY	Positive
# 
# External preamplifier description
AMP_MFG	NONE
AMP_MODEL	NONE
AMP_SN	NONE
AMP_GAIN_NOM_DB	NONE
AMP_BW_MHZ	NONE
AMP_OUTPUT_IMP_NOM_OHMS	NONE
# 
# Cable/adaptor between hydrophone and preamplifier
CA_BWT_HYD_AMP	NONE 
# 
# Environment
ELECTRICAL_LOAD	OpenCircuit
WATER_TEMP_DEGC	23.5
WATER_RESISTIVITY_MOHMS-CM	4.5
#
# Calibration data
# Freq(MHz) Sens(dB re. 1V/uPa) Sens(V/Pa) Sens(V^2cm^2/W) Cap(pF)
#
DATA_FIELDS	5
DATA_FIELD	FREQ_MHz
DATA_FIELD	SENS_DB
DATA_FIELD	SENS_VPERPA
DATA_FIELD	SENS_V2CM2PERW
DATA_FIELD	CAP_PF
# End of file header
HEADER_END	0
 4.150	 -253.08	  2.217E-007	7.375E-004	    191.532
 4.200	 -253.21	  2.186E-007	7.171E-004	    191.618
 4.250	 -253.35	  2.150E-007	6.933E-004	    191.706
 4.300	 -253.61	  2.088E-007	6.537E-004	    191.796
 4.350	 -253.66	  2.075E-007	6.456E-004	    191.888
 4.400	 -253.67	  2.073E-007	6.444E-004	    191.981
 4.450	 -253.62	  2.084E-007	6.513E-004	    192.076
 4.500	 -253.55	  2.102E-007	6.630E-004	    192.173
 4.550	 -253.52	  2.109E-007	6.673E-004	    192.272
 4.600	 -253.50	  2.113E-007	6.700E-004	    192.372
 4.650	 -253.45	  2.125E-007	6.772E-004	    192.474
 4.700	 -253.41	  2.135E-007	6.838E-004	    192.577
 4.750	 -253.30	  2.163E-007	7.015E-004	    192.683
 4.800	 -253.21	  2.186E-007	7.170E-004	    192.789
 4.850	 -253.24	  2.177E-007	7.108E-004	    192.898
 4.900	 -253.18	  2.194E-007	7.220E-004	    193.008
 4.950	 -253.11	  2.211E-007	7.331E-004	    193.119
 5.000	 -253.01	  2.236E-007	7.501E-004	    193.232
 5.050	 -252.95	  2.252E-007	7.609E-004	    193.347
 5.100	 -252.95	  2.252E-007	7.608E-004	    193.463
 5.150	 -252.87	  2.271E-007	7.738E-004	    193.581
 5.200	 -252.90	  2.266E-007	7.700E-004	    193.700
 5.250	 -252.83	  2.284E-007	7.822E-004	    193.821
 5.300	 -252.79	  2.294E-007	7.897E-004	    193.943
 5.350	 -252.78	  2.296E-007	7.905E-004	    194.066
 5.400	 -252.79	  2.294E-007	7.894E-004	    194.191
 5.450	 -252.79	  2.294E-007	7.895E-004	    194.318
 5.500	 -252.76	  2.302E-007	7.950E-004	    194.445
 5.550	 -252.75	  2.303E-007	7.955E-004	    194.574
 5.600	 -252.67	  2.325E-007	8.105E-004	    194.705
 5.650	 -252.56	  2.356E-007	8.329E-004	    194.837
 5.700	 -252.49	  2.374E-007	8.450E-004	    194.970
 5.750	 -252.51	  2.368E-007	8.412E-004	    195.105
 5.800	 -252.50	  2.372E-007	8.437E-004	    195.241
 5.850	 -252.45	  2.386E-007	8.536E-004	    195.378
 5.900	 -252.47	  2.380E-007	8.493E-004	    195.517
 5.950	 -252.46	  2.381E-007	8.504E-004	    195.657
 6.000	 -252.52	  2.366E-007	8.400E-004	    195.798
 6.050	 -252.58	  2.350E-007	8.284E-004	    195.940
 6.100	 -252.67	  2.325E-007	8.106E-004	    196.084
 6.150	 -252.65	  2.331E-007	8.149E-004	    196.229
 6.200	 -252.59	  2.348E-007	8.271E-004	    196.376
 6.250	 -252.64	  2.333E-007	8.164E-004	    196.523
 6.300	 -252.65	  2.332E-007	8.157E-004	    196.672
 6.350	 -252.62	  2.338E-007	8.196E-004	    196.822
 6.400	 -252.63	  2.336E-007	8.186E-004	    196.973
 6.450	 -252.58	  2.349E-007	8.277E-004	    197.126
 6.500	 -252.56	  2.355E-007	8.317E-004	    197.280
 6.550	 -252.63	  2.337E-007	8.189E-004	    197.435
 6.600	 -252.51	  2.370E-007	8.424E-004	    197.591
 6.650	 -252.45	  2.385E-007	8.532E-004	    197.748
 6.700	 -252.40	  2.398E-007	8.628E-004	    197.907
 6.750	 -252.34	  2.416E-007	8.759E-004	    198.067
 6.800	 -252.31	  2.423E-007	8.809E-004	    198.228
 6.850	 -252.30	  2.425E-007	8.823E-004	    198.390
 6.900	 -252.36	  2.409E-007	8.708E-004	    198.553
 6.950	 -252.36	  2.409E-007	8.704E-004	    198.718
 7.000	 -252.30	  2.427E-007	8.836E-004	    198.884
 7.050	 -252.24	  2.443E-007	8.950E-004	    199.051
 7.100	 -252.23	  2.445E-007	8.968E-004	    199.219
 7.150	 -252.27	  2.436E-007	8.904E-004	    199.388
 7.200	 -252.31	  2.424E-007	8.816E-004	    199.559
 7.250	 -252.25	  2.439E-007	8.926E-004	    199.731
 7.300	 -252.18	  2.461E-007	9.087E-004	    199.903
 7.350	 -252.24	  2.444E-007	8.959E-004	    200.078
 7.400	 -252.22	  2.449E-007	8.993E-004	    200.253
 7.450	 -252.18	  2.461E-007	9.087E-004	    200.429
 7.500	 -252.11	  2.480E-007	9.224E-004	    200.607
 7.550	 -252.09	  2.487E-007	9.275E-004	    200.786
 7.600	 -252.12	  2.477E-007	9.200E-004	    200.966
 7.650	 -252.13	  2.474E-007	9.180E-004	    201.147
 7.700	 -252.16	  2.466E-007	9.122E-004	    201.329
 7.750	 -252.14	  2.473E-007	9.174E-004	    201.513
 7.800	 -252.13	  2.475E-007	9.189E-004	    201.698
 7.850	 -252.20	  2.455E-007	9.042E-004	    201.884
 7.900	 -252.22	  2.450E-007	9.006E-004	    202.071
 7.950	 -252.13	  2.475E-007	9.189E-004	    202.260
 8.000	 -252.12	  2.477E-007	9.204E-004	    202.449
 8.050	 -252.08	  2.489E-007	9.292E-004	    202.640
 8.100	 -251.97	  2.520E-007	9.529E-004	    202.833
 8.150	 -251.92	  2.535E-007	9.642E-004	    203.026
 8.200	 -251.88	  2.546E-007	9.727E-004	    203.221
 8.250	 -251.83	  2.562E-007	9.849E-004	    203.417
 8.300	 -251.81	  2.566E-007	9.879E-004	    203.614
 8.350	 -251.78	  2.576E-007	9.952E-004	    203.812
 8.400	 -251.79	  2.574E-007	9.938E-004	    204.012
 8.450	 -251.85	  2.555E-007	9.792E-004	    204.213
 8.500	 -251.90	  2.542E-007	9.693E-004	    204.415
 8.550	 -251.88	  2.548E-007	9.739E-004	    204.619
 8.600	 -251.81	  2.568E-007	9.894E-004	    204.824
 8.650	 -251.77	  2.579E-007	9.977E-004	    205.030
 8.700	 -251.80	  2.569E-007	9.902E-004	    205.238
 8.750	 -251.83	  2.562E-007	9.843E-004	    205.446
 8.800	 -251.81	  2.566E-007	9.879E-004	    205.657
 8.850	 -251.81	  2.567E-007	9.884E-004	    205.868
 8.900	 -251.85	  2.556E-007	9.802E-004	    206.081
