Measurement number,Cluster number,Indices number,X-coordinate [mm],Y-coordinate [mm],Z-coordinate [mm],Row number,Column number,Slice number
1,1,1,0,0,0,1,1,1
2,1,2,0,0,0.5,1,1,2
3,1,3,0,0,1,1,1,3
4,1,4,0,0,1.5,1,1,4
5,1,5,0,0,2,1,1,5
6,1,6,0,0,2.5,1,1,6
7,1,7,0,0,3,1,1,7
8,1,8,0,0,3.5,1,1,8
9,1,9,0,0,4,1,1,9
10,1,10,0,0,4.5,1,1,10
11,1,11,0,0,5,1,1,11
12,1,12,0,0,5.5,1,1,12
13,1,13,0,0,6,1,1,13
14,1,14,0,0,6.5,1,1,14
15,1,15,0,0,7,1,1,15
16,1,16,0,0,7.5,1,1,16
17,1,17,0,0,8,1,1,17
18,1,18,0,0,8.5,1,1,18
19,1,19,0,0,9,1,1,19
20,1,20,0,0,9.5,1,1,20
21,1,21,0,0,10,1,1,21
22,1,22,0,0,10.5,1,1,22
23,1,23,0,0,11,1,1,23
24,1,24,0,0,11.5,1,1,24
25,1,25,0,0,12,1,1,25
26,1,26,0,0,12.5,1,1,26
27,1,27,0,0,13,1,1,27
28,1,28,0,0,13.5,1,1,28
29,1,29,0,0,14,1,1,29
30,1,30,0,0,14.5,1,1,30
31,1,31,0,0,15,1,1,31
32,1,32,0,0,15.5,1,1,32
33,1,33,0,0,16,1,1,33
34,1,34,0,0,16.5,1,1,34
35,1,35,0,0,17,1,1,35
36,1,36,0,0,17.5,1,1,36
37,1,37,0,0,18,1,1,37
38,1,38,0,0,18.5,1,1,38
39,1,39,0,0,19,1,1,39
40,1,40,0,0,19.5,1,1,40
41,1,41,0,0,20,1,1,41
42,1,42,0,0,20.5,1,1,42
43,1,43,0,0,21,1,1,43
44,1,44,0,0,21.5,1,1,44
45,1,45,0,0,22,1,1,45
46,1,46,0,0,22.5,1,1,46
47,1,47,0,0,23,1,1,47
48,1,48,0,0,23.5,1,1,48
49,1,49,0,0,24,1,1,49
50,1,50,0,0,24.5,1,1,50
51,1,51,0,0,25,1,1,51
52,1,52,0,0,25.5,1,1,52
53,1,53,0,0,26,1,1,53
54,1,54,0,0,26.5,1,1,54
55,1,55,0,0,27,1,1,55
